,lengths
0,1
1,1
2,1
3,1
4,20
5,18
6,7
7,1
8,1
9,1
10,1
11,1
12,1
13,6
14,1
15,2
16,2
17,2
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,2
42,1
43,10
44,1
45,1
46,4
47,2
48,1
49,2
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,20
65,2
66,20
67,2
68,2
69,2
70,2
71,2
72,2
73,20
74,2
75,4
76,1
77,20
78,2
79,1
80,1
81,4
82,2
83,1
84,1
85,1
86,20
87,1
88,1
89,13
90,9
91,23
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,2
100,2
101,2
102,2
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,2
119,1
120,4
121,20
122,2
123,1
124,1
125,1
126,1
127,20
128,1
129,1
130,2
131,12
132,4
133,2
134,6
135,2
136,1
137,2
138,2
139,12
140,2
141,1
142,2
143,1
144,1
145,1
146,13
147,4
148,1
149,1
150,1
151,1
152,1
153,2
154,4
155,1
156,1
157,1
158,2
159,1
160,2
161,1
162,2
163,2
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
