"","Reservoir","Genbank.accession","TGG.W..AAG.K.","ApU","CAT.H..GTT.V.","AGA.Bias","AAT.N..ATA.I.","CpA","TTT.F..ACT.T.","K.Bias","TGG.W..TGG.W.","GCT.Bias","CAG.Q..AGC.S.","tga","GTA.Bias","ApC","GAG.E..AAA.K.","AAC.N..AAG.K.","aca","GpG","CGA.R..CCC.P.","C.Bias","GCA.Bias","AAT.N..GGT.G.","GCT.A..CAG.Q.","AGA.R..GAA.E.","cag","bird","camelid","carnivore","human","rodent","swine","yangochiroptera","yinpterochiroptera"
"2","rodent","AB551247.1",0.0710714421791942,0.962249168367282,0.310465742122974,0.244935543278085,-0.457047217340666,1.17909292944638,0.273846281588714,0.0578618044809258,0,0.46343779677113,-9999,0.150269687172962,0.123497997329773,0.956966400131293,-0.23624156577073,-0.0948113882716005,0.0945883612282522,0.874695669605438,1.65538153821205,0.0379465787526071,0.221272554605888,0.365054848400074,0.169630250007012,-0.870464850188475,0.104373364113933,0,0,0,0,1,0,0,0
"3","carnivore","AY572034.1",0.240946400141478,0.856632884041029,-0.137507414529971,0.347938144329897,-1.16797849787323,1.30736070544909,-0.0831828315130781,0.0561606875187369,0,0.507002801120448,0.980853149872875,0.162679860587523,0.212355212355212,1.17179548766109,-0.447163810315006,0.398008290176195,0.192824214540189,0.940641553857546,2.44040022657773,0.030778455081443,0.282913165266106,0.192057967938109,-0.415830576077952,0.495847453131991,0.110612340123829,0,0,0.757968837710315,0,0,0,0,0.242031162289685
"4","carnivore","AY572035.1",0.242946178610389,0.858449281332583,-0.140127563584631,0.347938144329897,-1.1691625161826,1.30823993970753,-0.0832968108122756,0.0560607574697712,0,0.505602240896359,0.979697481189993,0.162802420185119,0.212355212355212,1.16985722608513,-0.448944754686001,0.401944177671973,0.193218798841451,0.941703849279843,2.42173591881871,0.030778455081443,0.282913165266106,0.163474975440618,-0.415720366643178,0.495847453131991,0.110695673142715,0,0,0.7579570650951,0,0,0,0,0.2420429349049
"5","carnivore","AY572038.1",0.243395112400197,0.856670812217569,-0.156085112398353,0.347258485639687,-1.16117470124274,1.30722352634741,-0.0972773387106009,0.0562171982236577,0,0.513475177304965,1.05735560602973,0.161976221405234,0.212710765239948,1.17254347031162,-0.439247139586987,0.438784133966991,0.192486290674519,0.936996168144542,2.54191148918243,0.0311869196608801,0.279432624113475,0.158694109388096,-0.380638265794685,0.489030766833202,0.10988585923816,0,0,0.757923031601093,0,0,0,0,0.242076968398907
"6","human","AY597011.2",0.460423992388922,0.923137666232645,-0.235419277788191,0.334405144694534,0.0839071213908123,1.09356855502921,0.112582857423053,0.0561449159327462,0,0.6484375,-9999,0.149149458990434,0.197558268590455,1.09630247641678,-0.261989678580086,-0.245626593006931,0.0802787456322451,0.910172986139218,-9999,0.0356285028022418,0.23046875,0.177018433712436,0.033029600244548,0.494981288296962,0.0566176416564255,0,0,0,1,0,0,0,0
"7","carnivore","AY686864.1",0.242946178610389,0.858551864516031,-0.1435472808113,0.347043701799486,-1.20978976285035,1.30757715589701,-0.0838322334034021,0.0560607574697712,0,0.506311360448808,0.983520441000623,0.162281757317288,0.212082262210797,1.17024372964348,-0.448944754686001,0.398787475915555,0.19294328750166,0.941865969883244,2.30693296661277,0.030778455081443,0.283309957924264,0.209332126155788,-0.410295943498067,0.498421457127164,0.110431364810382,0,0,0.757954166203137,0,0,0,0,0.242045833796863
"8","carnivore","DQ010921.1",0.00608644605640225,0.868501369088177,0.233140307099226,0.433583959899749,0.0779134232402579,1.30692797246025,-0.727140803182983,0.0644959298685034,0,0.498154981549816,-9999,0.17029214338326,0.197357555739059,1.19895273710771,-0.0654345571941718,0.372449792654439,0.175437661384769,0.881600577337787,-9999,0.0319348778960551,0.318573185731857,0.200104836605076,-9999,-1.0474394254242,0.088943954026077,0,0,1,0,0,0,0,0
"9","swine","DQ201447.1",-0.401267200893924,0.870965430677395,0.27821070406117,0.455108359133127,0.115766598842671,1.31545257070552,-0.379056232641654,0.0600668607786045,0,0.521739130434783,-9999,0.172894470928229,0.197352587244284,1.18073754840435,0.21463329408217,0.176569133155026,0.1641750091379,0.89747188212845,-9999,0.0312735899924512,0.322742474916388,0.291987534712532,-0.801817820090804,-9999,0.0919280400180351,0,0,0,0,0,1,0,0
"10","yinpterochiroptera","DQ412042.1",-0.102697398238343,0.834325229586757,0.564603329446462,0.342318059299191,-9999,1.30189720669618,-0.103607933961852,0.0570619182517199,0,0.491304347826087,-9999,0.156239920441736,0.19375,1.18147025358463,-0.849958162092586,0.475138935810608,0.189826527543065,0.934489356837276,2.7270983960729,0.0308579522460542,0.285507246376812,0.0237964827825669,-0.35392825911034,-0.375300491296739,0.111706567322197,0,0,0,0,0,0,0,1
"11","yinpterochiroptera","DQ412043.1",-0.115346980858502,0.85130643152956,0.101943169316305,0.367021276595745,-1.08781924679837,1.30451392338368,-0.608649487157491,0.0560441808140724,0,0.492154065620542,0.262912230158625,0.160676644889861,0.189987163029525,1.15713462804678,-0.861877600726357,0.0501352649783059,0.192215955401472,0.91960043720466,-9999,0.0303743096747801,0.283880171184023,0.236821352884387,0.0830685164524525,0.122629426403275,0.110015075249163,0,0,0,0,0,0,0,1
